IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
38.148.254.137,21347,443,true,ORD,North America,US,Chicago,140,9.95
34.66.72.229,443,443,true,ORD,North America,US,Chicago,310,8.96
204.110.223.169,80,443,true,LAX,North America,US,Los Angeles,6,8.44
204.110.223.88,80,443,true,LAX,North America,US,Los Angeles,4,8.34
204.110.223.43,80,443,true,LAX,North America,US,Los Angeles,0,7.29
164.152.26.70,2052,443,true,ORD,North America,US,Chicago,226,7.01
67.226.222.149,80,443,true,LAX,North America,US,Los Angeles,0,6.84
67.226.222.158,80,443,true,LAX,North America,US,Los Angeles,2,6.63
204.110.223.107,80,443,true,LAX,North America,US,Los Angeles,4,6.19
67.226.222.47,80,443,true,ORD,North America,US,Chicago,245,5.97
67.226.222.253,80,443,true,LAX,North America,US,Los Angeles,2,5.29
204.110.223.82,80,443,true,LAX,North America,US,Los Angeles,7,5.28
204.110.223.238,80,443,true,ORD,North America,US,Chicago,275,5.20
3.18.162.191,2096,443,true,ORD,North America,US,Chicago,270,5.03
198.46.218.63,27149,443,true,ORD,North America,US,Chicago,230,4.82
67.226.222.124,80,443,true,LAX,North America,US,Los Angeles,12,4.76
67.226.222.235,80,443,true,LAX,North America,US,Los Angeles,8,4.73
67.226.222.175,80,443,true,LAX,North America,US,Los Angeles,3,4.64
204.110.223.80,80,443,true,LAX,North America,US,Los Angeles,2,4.61
67.226.222.14,80,443,true,LAX,North America,US,Los Angeles,10,4.23
204.110.223.142,80,443,true,LAX,North America,US,Los Angeles,6,3.58
67.226.222.203,80,443,true,LAX,North America,US,Los Angeles,0,3.49
204.110.223.73,443,443,true,ORD,North America,US,Chicago,262,3.45
67.226.222.2,443,443,true,LAX,North America,US,Los Angeles,11,3.31
67.226.222.237,80,443,true,LAX,North America,US,Los Angeles,3,3.25
204.110.223.149,80,443,true,LAX,North America,US,Los Angeles,8,3.20
204.110.223.111,80,0,true,LAX,North America,US,Los Angeles,0,2.82
